Mamba Train,LSTM Train,Mamba Test,LSTM Test
451.8921636498999,346.35646361205727,12.449998265947215,12.41725767601747
440.6103336380329,344.8294945099624,12.7697547969874,12.772508299909532
442.12229505891446,347.9404719870072,12.574118893942796,12.667483612080105
437.366014069994,345.4040751779685,12.483682818012312,12.750492125982419
436.9735393199371,342.76517446292564,12.501313725020736,12.635190709959716
440.0658183519263,346.1987851689337,12.836715592071414,12.933546247077174
451.22242389409803,347.85557928297203,12.663936331984587,12.810459205997176
442.2739045810886,344.0809412029339,12.442137797013856,12.634232079959475
450.39646659605205,344.4237569649704,12.315392932971008,12.514518814976327
446.67594830994494,350.0394308429677,12.71503057598602,12.717747488059103
440.5934506810736,345.4172633580165,12.492437461973168,12.647813142975792
443.98231284308713,344.6844413430663,12.662381369038485,12.874078928027302
