Sat1.A1ModJulian          Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.ElapsedSecs          
30538.0247589739          -3963.209835677928        6139.983155457277         104.2340124533519         -5.942059063883918        -3.961674941977351        -1.628595269106376        2134.140963410027         
30538.02594074369         -4547.704517346347        5703.447292794603         -62.31385771888965        -5.496223003894969        -4.58203000014978         -1.630782552338502        2236.245873465668         
30538.02712225583         -5083.380618043135        5205.951827668818         -228.1543678035567        -4.988799747979654        -5.15675034448594         -1.615425896238625        2338.328522024676         
30538.02830192963         -5563.594698594077        4653.290189114935         -391.2773210214495        -4.42510625457613         -5.678685394268999        -1.582533720927508        2440.252338338178         
30538.02946895593         -5979.498321929983        4057.046434962961         -548.4829073884221        -3.816394306901933        -6.137962250616862        -1.532837472622821        2541.0834107548           
30538.03063063124         -6330.235923703579        3420.612382665545         -699.1502619077555        -3.165624287488056        -6.533224427310653        -1.466699096520388        2641.4521572995           
30538.03179461057         -6614.159050749372        2746.452970015338         -842.6384507479664        -2.474868128873363        -6.862264270979686        -1.384201810170451        2742.019971425179         
30538.03293315895         -6823.080488494635        2058.405294235936         -974.2107797960347        -1.768231732481778        -7.114889561296056        -1.288402375331948        2840.390551253222         
30538.03408841175         -6962.754438752975        1338.496677856562         -1097.355186078738        -1.027007940530021        -7.297476348899141        -1.176725478041893        2940.204393281601         
30538.0352158832          -7026.872875245916        621.9693627115799         -1206.137607610377        -0.2873577042221396       -7.401075765000443        -1.054616457914681        3037.617926462553         
30538.03631742286         -7019.476322730492        -84.32326157460233        -1300.371249790904        0.4435443905996539        -7.429001010408867        -0.9238474950415153       3132.790953037329         
30538.03738285739         -6946.048334744575        -766.7342423465869        -1379.215964224995        1.151356936923915         -7.385820440576691        -0.7876804121131183       3224.844496557489         
30538.03849400346         -6800.309465242261        -1470.681988518074        -1447.660677097241        1.88303552664351          -7.266677231190318        -0.6368148572953686       3320.847516995855         
30538.03961642656         -6582.416645648037        -2166.454100352966        -1501.710661776885        2.607529360662413         -7.069722470308666        -0.4767219058315966       3417.824873013888         
30538.04074577084         -6293.322959842303        -2843.498268209438        -1540.111597515077        3.313488480665487         -6.794982381135516        -0.3095007265707144       3515.400219149888         
30538.04180615733         -5960.445862115124        -3451.596391644349        -1561.114698811025        3.948037855466922         -6.46895569977861         -0.1484822940465243       3607.017611281481         
30538.04283883583         -5581.820425221928        -4012.332846567641        -1567.279352497527        4.533184935791314         -6.090525070373251        0.01053426727002559       3696.241034427658         
30538.04384156992         -5165.777654163155        -4522.085199639013        -1559.649619927408        5.064708904337932         -5.66841702460192         0.1655854008617822        3782.877259841189         
30538.04484511053         -4705.05238300451         -4993.417842163953        -1538.588354253217        5.555289830032346         -5.195456823606929        0.3199740210724322        3869.583168416284         
30538.04582879515         -4214.046265252557        -5413.660835954453        -1505.033736654856        5.99134821631436          -4.686612519996336        0.4691697729011907        3954.573519446421         
